"""næring (SN2007)"";""kvartal"";""statistikkvariabel"";""08771: Ledige stillingar, etter næring (SN2007), kvartal og statistikkvariabel"""
"""58-63 Informasjon og kommunikasjon"";""2018K4"";""Ledige stillingar"";4000"
"""58-63 Informasjon og kommunikasjon"";""2018K4"";""Ledige stillingar (prosent)"";4"
"""58-63 Informasjon og kommunikasjon"";""2018K4"";""Ledige stillingar, endring frå året før"";1000"
"""58-63 Informasjon og kommunikasjon"";""2018K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,8"
"""58-63 Informasjon og kommunikasjon"";""2019K1"";""Ledige stillingar"";4700"
"""58-63 Informasjon og kommunikasjon"";""2019K1"";""Ledige stillingar (prosent)"";4,8"
"""58-63 Informasjon og kommunikasjon"";""2019K1"";""Ledige stillingar, endring frå året før"";1200"
"""58-63 Informasjon og kommunikasjon"";""2019K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";1"
"""58-63 Informasjon og kommunikasjon"";""2019K2"";""Ledige stillingar"";4800"
"""58-63 Informasjon og kommunikasjon"";""2019K2"";""Ledige stillingar (prosent)"";4,7"
"""58-63 Informasjon og kommunikasjon"";""2019K2"";""Ledige stillingar, endring frå året før"";1300"
"""58-63 Informasjon og kommunikasjon"";""2019K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";1,1"
"""58-63 Informasjon og kommunikasjon"";""2019K3"";""Ledige stillingar"";4800"
"""58-63 Informasjon og kommunikasjon"";""2019K3"";""Ledige stillingar (prosent)"";4,6"
"""58-63 Informasjon og kommunikasjon"";""2019K3"";""Ledige stillingar, endring frå året før"";800"
"""58-63 Informasjon og kommunikasjon"";""2019K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,5"
"""58-63 Informasjon og kommunikasjon"";""2019K4"";""Ledige stillingar"";4500"
"""58-63 Informasjon og kommunikasjon"";""2019K4"";""Ledige stillingar (prosent)"";4,3"
"""58-63 Informasjon og kommunikasjon"";""2019K4"";""Ledige stillingar, endring frå året før"";500"
"""58-63 Informasjon og kommunikasjon"";""2019K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""58-63 Informasjon og kommunikasjon"";""2020K1"";""Ledige stillingar"";5000"
"""58-63 Informasjon og kommunikasjon"";""2020K1"";""Ledige stillingar (prosent)"";4,8"
"""58-63 Informasjon og kommunikasjon"";""2020K1"";""Ledige stillingar, endring frå året før"";200"
"""58-63 Informasjon og kommunikasjon"";""2020K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""58-63 Informasjon og kommunikasjon"";""2020K2"";""Ledige stillingar"";3200"
"""58-63 Informasjon og kommunikasjon"";""2020K2"";""Ledige stillingar (prosent)"";3,2"
"""58-63 Informasjon og kommunikasjon"";""2020K2"";""Ledige stillingar, endring frå året før"";-1500"
"""58-63 Informasjon og kommunikasjon"";""2020K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1,5"
"""58-63 Informasjon og kommunikasjon"";""2020K3"";""Ledige stillingar"";3500"
"""58-63 Informasjon og kommunikasjon"";""2020K3"";""Ledige stillingar (prosent)"";3,4"
"""58-63 Informasjon og kommunikasjon"";""2020K3"";""Ledige stillingar, endring frå året før"";-1300"
"""58-63 Informasjon og kommunikasjon"";""2020K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1,2"
"""58-63 Informasjon og kommunikasjon"";""2020K4"";""Ledige stillingar"";4500"
"""58-63 Informasjon og kommunikasjon"";""2020K4"";""Ledige stillingar (prosent)"";4,2"
"""58-63 Informasjon og kommunikasjon"";""2020K4"";""Ledige stillingar, endring frå året før"";-"
"""58-63 Informasjon og kommunikasjon"";""2020K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""58-63 Informasjon og kommunikasjon"";""2021K1"";""Ledige stillingar"";5000"
"""58-63 Informasjon og kommunikasjon"";""2021K1"";""Ledige stillingar (prosent)"";4,7"
"""58-63 Informasjon og kommunikasjon"";""2021K1"";""Ledige stillingar, endring frå året før"";100"
"""58-63 Informasjon og kommunikasjon"";""2021K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""58-63 Informasjon og kommunikasjon"";""2021K2"";""Ledige stillingar"";6500"
"""58-63 Informasjon og kommunikasjon"";""2021K2"";""Ledige stillingar (prosent)"";5,9"
"""58-63 Informasjon og kommunikasjon"";""2021K2"";""Ledige stillingar, endring frå året før"";3300"
"""58-63 Informasjon og kommunikasjon"";""2021K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";2,8"
"""58-63 Informasjon og kommunikasjon"";""2021K3"";""Ledige stillingar"";6000"
"""58-63 Informasjon og kommunikasjon"";""2021K3"";""Ledige stillingar (prosent)"";5,3"
"""58-63 Informasjon og kommunikasjon"";""2021K3"";""Ledige stillingar, endring frå året før"";2500"
"""58-63 Informasjon og kommunikasjon"";""2021K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";1,9"
"""58-63 Informasjon og kommunikasjon"";""2021K4"";""Ledige stillingar"";5600"
"""58-63 Informasjon og kommunikasjon"";""2021K4"";""Ledige stillingar (prosent)"";4,9"
"""58-63 Informasjon og kommunikasjon"";""2021K4"";""Ledige stillingar, endring frå året før"";1100"
"""58-63 Informasjon og kommunikasjon"";""2021K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,6"
"""58-63 Informasjon og kommunikasjon"";""2022K1"";""Ledige stillingar"";6400"
"""58-63 Informasjon og kommunikasjon"";""2022K1"";""Ledige stillingar (prosent)"";5,5"
"""58-63 Informasjon og kommunikasjon"";""2022K1"";""Ledige stillingar, endring frå året før"";1400"
"""58-63 Informasjon og kommunikasjon"";""2022K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,7"
"""58-63 Informasjon og kommunikasjon"";""2022K2"";""Ledige stillingar"";6000"
"""58-63 Informasjon og kommunikasjon"";""2022K2"";""Ledige stillingar (prosent)"";5"
"""58-63 Informasjon og kommunikasjon"";""2022K2"";""Ledige stillingar, endring frå året før"";-500"
"""58-63 Informasjon og kommunikasjon"";""2022K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,9"
"""58-63 Informasjon og kommunikasjon"";""2022K3"";""Ledige stillingar"";6600"
"""58-63 Informasjon og kommunikasjon"";""2022K3"";""Ledige stillingar (prosent)"";5,4"
"""58-63 Informasjon og kommunikasjon"";""2022K3"";""Ledige stillingar, endring frå året før"";600"
"""58-63 Informasjon og kommunikasjon"";""2022K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""58-63 Informasjon og kommunikasjon"";""2022K4"";""Ledige stillingar"";5600"
"""58-63 Informasjon og kommunikasjon"";""2022K4"";""Ledige stillingar (prosent)"";4,6"
"""58-63 Informasjon og kommunikasjon"";""2022K4"";""Ledige stillingar, endring frå året før"";0"
"""58-63 Informasjon og kommunikasjon"";""2022K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""58-63 Informasjon og kommunikasjon"";""2023K1"";""Ledige stillingar"";7400"
"""58-63 Informasjon og kommunikasjon"";""2023K1"";""Ledige stillingar (prosent)"";6"
"""58-63 Informasjon og kommunikasjon"";""2023K1"";""Ledige stillingar, endring frå året før"";1000"
"""58-63 Informasjon og kommunikasjon"";""2023K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,5"
"""58-63 Informasjon og kommunikasjon"";""2023K2"";""Ledige stillingar"";6600"
"""58-63 Informasjon og kommunikasjon"";""2023K2"";""Ledige stillingar (prosent)"";5,4"
"""58-63 Informasjon og kommunikasjon"";""2023K2"";""Ledige stillingar, endring frå året før"";600"
"""58-63 Informasjon og kommunikasjon"";""2023K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""58-63 Informasjon og kommunikasjon"";""2023K3"";""Ledige stillingar"";5000"
"""58-63 Informasjon og kommunikasjon"";""2023K3"";""Ledige stillingar (prosent)"";4,1"
"""58-63 Informasjon og kommunikasjon"";""2023K3"";""Ledige stillingar, endring frå året før"";-1600"
"""58-63 Informasjon og kommunikasjon"";""2023K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1,4"
"""58-63 Informasjon og kommunikasjon"";""2023K4"";""Ledige stillingar"";4800"
"""58-63 Informasjon og kommunikasjon"";""2023K4"";""Ledige stillingar (prosent)"";3,9"
"""58-63 Informasjon og kommunikasjon"";""2023K4"";""Ledige stillingar, endring frå året før"";-900"
"""58-63 Informasjon og kommunikasjon"";""2023K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K1"";""Ledige stillingar"";1100"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K1"";""Ledige stillingar (prosent)"";2,3"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K1"";""Ledige stillingar, endring frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K2"";""Ledige stillingar"";1400"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K2"";""Ledige stillingar (prosent)"";2,9"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K2"";""Ledige stillingar, endring frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K3"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K3"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K3"";""Ledige stillingar, endring frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K4"";""Ledige stillingar"";900"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K4"";""Ledige stillingar (prosent)"";1,9"
"""64-66 Finansierings- og forsikringsverksemd"";""2010K4"";""Ledige stillingar, endring frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2010K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""64-66 Finansierings- og forsikringsverksemd"";""2011K1"";""Ledige stillingar"";1300"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K1"";""Ledige stillingar (prosent)"";2,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K1"";""Ledige stillingar, endring frå året før"";200"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K2"";""Ledige stillingar"";1500"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K2"";""Ledige stillingar (prosent)"";2,9"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K2"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K3"";""Ledige stillingar"";900"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K3"";""Ledige stillingar (prosent)"";1,8"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K3"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K4"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K4"";""Ledige stillingar (prosent)"";1,6"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K4"";""Ledige stillingar, endring frå året før"";-100"
"""64-66 Finansierings- og forsikringsverksemd"";""2011K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K1"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K1"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K1"";""Ledige stillingar, endring frå året før"";-500"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K2"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K2"";""Ledige stillingar (prosent)"";1,4"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K2"";""Ledige stillingar, endring frå året før"";-800"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K3"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K3"";""Ledige stillingar (prosent)"";1,3"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K3"";""Ledige stillingar, endring frå året før"";-200"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K4"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K4"";""Ledige stillingar (prosent)"";1,4"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K4"";""Ledige stillingar, endring frå året før"";-100"
"""64-66 Finansierings- og forsikringsverksemd"";""2012K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K1"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K1"";""Ledige stillingar (prosent)"";1,3"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K1"";""Ledige stillingar, endring frå året før"";-200"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K2"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K2"";""Ledige stillingar (prosent)"";1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K2"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K3"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K3"";""Ledige stillingar (prosent)"";1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K3"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K4"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K4"";""Ledige stillingar (prosent)"";1,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K4"";""Ledige stillingar, endring frå året før"";-100"
"""64-66 Finansierings- og forsikringsverksemd"";""2013K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K1"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K1"";""Ledige stillingar (prosent)"";1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K1"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K2"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K2"";""Ledige stillingar (prosent)"";1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K2"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K3"";""Ledige stillingar"";500"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K3"";""Ledige stillingar (prosent)"";1,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K3"";""Ledige stillingar, endring frå året før"";-200"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K4"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K4"";""Ledige stillingar (prosent)"";1,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K4"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2014K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K1"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K1"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K1"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K2"";""Ledige stillingar"";700"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K2"";""Ledige stillingar (prosent)"";1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K2"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K3"";""Ledige stillingar"";500"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K3"";""Ledige stillingar (prosent)"";1,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K3"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K4"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K4"";""Ledige stillingar (prosent)"";1,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K4"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2015K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K1"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K1"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K1"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K2"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K2"";""Ledige stillingar (prosent)"";1,4"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K2"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K3"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K3"";""Ledige stillingar (prosent)"";1,6"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K3"";""Ledige stillingar, endring frå året før"";200"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K4"";""Ledige stillingar"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K4"";""Ledige stillingar (prosent)"";1,3"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K4"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2016K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K1"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K1"";""Ledige stillingar (prosent)"";1,8"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K1"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K2"";""Ledige stillingar"";900"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K2"";""Ledige stillingar (prosent)"";2"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K2"";""Ledige stillingar, endring frå året før"";300"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,6"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K3"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K3"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K3"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K4"";""Ledige stillingar"";1000"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K4"";""Ledige stillingar (prosent)"";2,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K4"";""Ledige stillingar, endring frå året før"";400"
"""64-66 Finansierings- og forsikringsverksemd"";""2017K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,9"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K1"";""Ledige stillingar"";900"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K1"";""Ledige stillingar (prosent)"";1,9"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K1"";""Ledige stillingar, endring frå året før"";100"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K2"";""Ledige stillingar"";1000"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K2"";""Ledige stillingar (prosent)"";2,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K2"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K3"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K3"";""Ledige stillingar (prosent)"";1,8"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K3"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K4"";""Ledige stillingar"";1000"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K4"";""Ledige stillingar (prosent)"";2,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K4"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2018K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K1"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K1"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K1"";""Ledige stillingar, endring frå året før"";-100"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K2"";""Ledige stillingar"";1000"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K2"";""Ledige stillingar (prosent)"";2,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K2"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K3"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K3"";""Ledige stillingar (prosent)"";1,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K3"";""Ledige stillingar, endring frå året før"";-100"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K4"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K4"";""Ledige stillingar (prosent)"";1,6"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K4"";""Ledige stillingar, endring frå året før"";-200"
"""64-66 Finansierings- og forsikringsverksemd"";""2019K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K1"";""Ledige stillingar"";1300"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K1"";""Ledige stillingar (prosent)"";2,7"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K1"";""Ledige stillingar, endring frå året før"";500"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";1"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K2"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K2"";""Ledige stillingar (prosent)"";1,6"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K2"";""Ledige stillingar, endring frå året før"";-200"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K3"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K3"";""Ledige stillingar (prosent)"";1,6"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K3"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K4"";""Ledige stillingar"";800"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K4"";""Ledige stillingar (prosent)"";1,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K4"";""Ledige stillingar, endring frå året før"";-"
"""64-66 Finansierings- og forsikringsverksemd"";""2020K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K1"";""Ledige stillingar"";1100"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K1"";""Ledige stillingar (prosent)"";2,2"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K1"";""Ledige stillingar, endring frå året før"";-200"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K2"";""Ledige stillingar"";1400"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K2"";""Ledige stillingar (prosent)"";2,8"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K2"";""Ledige stillingar, endring frå året før"";600"
"""64-66 Finansierings- og forsikringsverksemd"";""2021K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";1,2"
