"""næring (SN2007)"";""kvartal"";""statistikkvariabel"";""08771: Ledige stillingar, etter næring (SN2007), kvartal og statistikkvariabel"""
"""01-03 Jordbruk, skogbruk og fiske"";""2011K3"";""Ledige stillingar (prosent)"";2,5"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K3"";""Ledige stillingar, endring frå året før"";600"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";1,5"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K4"";""Ledige stillingar"";500"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K4"";""Ledige stillingar (prosent)"";1,4"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K4"";""Ledige stillingar, endring frå året før"";200"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,7"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K1"";""Ledige stillingar"";400"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K1"";""Ledige stillingar (prosent)"";1,2"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K1"";""Ledige stillingar, endring frå året før"";-200"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,6"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K2"";""Ledige stillingar"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K2"";""Ledige stillingar (prosent)"";0,9"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K2"";""Ledige stillingar, endring frå året før"";-300"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,8"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K3"";""Ledige stillingar"";200"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K3"";""Ledige stillingar (prosent)"";0,8"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K3"";""Ledige stillingar, endring frå året før"";-600"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1,7"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K4"";""Ledige stillingar"";200"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K4"";""Ledige stillingar (prosent)"";0,6"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K4"";""Ledige stillingar, endring frå året før"";-300"
"""01-03 Jordbruk, skogbruk og fiske"";""2012K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,8"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K1"";""Ledige stillingar"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K1"";""Ledige stillingar (prosent)"";0,9"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K1"";""Ledige stillingar, endring frå året før"";-100"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K2"";""Ledige stillingar"";700"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K2"";""Ledige stillingar (prosent)"";2,4"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K2"";""Ledige stillingar, endring frå året før"";400"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";1,4"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K3"";""Ledige stillingar"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K3"";""Ledige stillingar (prosent)"";1"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K3"";""Ledige stillingar, endring frå året før"";100"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K4"";""Ledige stillingar"";200"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K4"";""Ledige stillingar (prosent)"";0,6"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K4"";""Ledige stillingar, endring frå året før"";-"
"""01-03 Jordbruk, skogbruk og fiske"";""2013K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K1"";""Ledige stillingar"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K1"";""Ledige stillingar (prosent)"";0,9"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K1"";""Ledige stillingar, endring frå året før"";-"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K2"";""Ledige stillingar"";400"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K2"";""Ledige stillingar (prosent)"";1,3"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K2"";""Ledige stillingar, endring frå året før"";-300"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-1"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K3"";""Ledige stillingar"";400"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K3"";""Ledige stillingar (prosent)"";1,1"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K3"";""Ledige stillingar, endring frå året før"";-"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K4"";""Ledige stillingar"";200"
"""01-03 Jordbruk, skogbruk og fiske"";""2014K4"";""Ledige stillingar (prosent)"";0,5"
